2020/04/20 17:56:18 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27402/15038.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27402/15038.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27402/15039.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27402/15039.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27402/15040.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27402/15040.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27403/15037.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27403/15037.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27403/15038.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27403/15038.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27403/15039.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27403/15039.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27403/15040.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27403/15040.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27404/15037.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27404/15037.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27404/15040.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27404/15040.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27404/15039.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27404/15039.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27405/15037.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27405/15037.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27405/15038.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27405/15038.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27405/15039.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27405/15039.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:18 [error] 6#6: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/15/27405/15040.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/15/27405/15040.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
